City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Narrabri,AU,2022-07-16 19:21:53,-30.3167,149.7833,46.72,70,0,9.42
151,De Aar,ZA,2022-07-16 19:21:53,-30.6497,24.0123,56.21,35,0,5.68
152,Markivka,UA,2022-07-16 19:21:53,49.5229,39.5705,70.39,68,47,7.78
153,Yumen,CN,2022-07-16 19:21:54,40.2833,97.2,72.73,32,97,3.76
154,Atlantic City,US,2022-07-16 19:19:36,39.3643,-74.4229,86.02,65,20,10.36
155,Faanui,PF,2022-07-16 19:21:54,-16.4833,-151.75,76.68,69,89,24.96
156,Warri,NG,2022-07-16 19:21:55,5.5167,5.75,75.78,84,98,6.96
157,Norman Wells,CA,2022-07-16 19:21:55,65.282,-126.8329,64.44,59,75,21.85
158,Khuzdar,PK,2022-07-16 19:21:55,27.7384,66.6434,78.15,67,97,11.03
159,Winton,US,2022-07-16 19:21:56,37.3894,-120.6133,95.76,23,0,9.22
160,Tripoli,LY,2022-07-16 19:21:56,32.8752,13.1875,79.61,66,0,17.16
161,Hilo,US,2022-07-16 19:21:56,19.7297,-155.09,83.28,94,100,5.75
162,Henderson,US,2022-07-16 19:20:31,36.0397,-114.9819,109.65,20,0,6.91
163,Tarata,BO,2022-07-16 19:21:57,-17.6167,-66.0167,74.62,11,1,0.65
164,Saskylakh,RU,2022-07-16 19:21:57,71.9167,114.0833,49.1,74,41,7.45
165,Torrelavega,ES,2022-07-16 19:21:58,43.3494,-4.0479,76.8,82,87,1.01
166,Cabedelo,BR,2022-07-16 19:21:58,-6.9811,-34.8339,75.87,85,35,18.12
167,Bonavista,CA,2022-07-16 19:21:58,48.6499,-53.1147,60.33,75,100,7.07
168,Wanaka,NZ,2022-07-16 19:21:59,-44.7,169.15,34.59,89,100,5.01
169,El Dorado,US,2022-07-16 19:21:59,38.7666,-120.5177,99.37,26,0,3.0
170,Saint-Augustin,CA,2022-07-16 19:21:59,51.226,-58.6502,69.85,40,50,10.87
171,Goderich,CA,2022-07-16 19:22:00,43.7501,-81.7165,74.91,59,7,7.36
172,Peleduy,RU,2022-07-16 19:22:00,59.6289,112.7406,56.53,96,100,2.57
173,Ngunguru,NZ,2022-07-16 19:22:01,-35.6167,174.5,49.12,77,6,7.49
174,Yellowknife,CA,2022-07-16 19:22:01,62.456,-114.3525,69.57,64,75,6.91
175,Bubaque,GW,2022-07-16 19:22:02,11.2833,-15.8333,81.45,81,66,12.35
176,Rosarito,MX,2022-07-16 19:22:02,32.3333,-117.0333,85.66,71,43,8.66
177,Barinas,VE,2022-07-16 19:22:03,8.6226,-70.2075,89.02,53,12,5.14
178,Harper,LR,2022-07-16 19:22:03,4.375,-7.7169,75.6,83,100,10.0
179,Mount Gambier,AU,2022-07-16 19:22:04,-37.8333,140.7667,51.71,93,75,13.8
180,Lasa,IT,2022-07-16 19:17:40,46.6166,10.7002,67.1,74,0,4.54
181,Arman,RU,2022-07-16 19:22:05,59.7,150.1667,55.02,96,94,1.1
182,Mezhdurechensk,RU,2022-07-16 19:22:05,53.6942,88.0603,54.5,89,14,1.63
183,Berlevag,NO,2022-07-16 19:22:56,70.8578,29.0864,51.8,100,100,21.85
184,Aitape,PG,2022-07-16 19:23:06,-3.1374,142.3475,77.23,90,100,7.23
185,Pevek,RU,2022-07-16 19:23:06,69.7008,170.3133,34.5,94,100,3.67
186,Tenenkou,ML,2022-07-16 19:23:07,14.4572,-4.9169,89.82,48,100,25.88
187,Inuvik,CA,2022-07-16 19:23:07,68.3499,-133.7218,65.16,48,75,12.66
188,Kisangani,CD,2022-07-16 19:20:48,0.5167,25.2,70.09,94,100,3.4
189,Los Llanos De Aridane,ES,2022-07-16 19:23:08,28.6585,-17.9182,70.12,86,40,14.97
190,Kahului,US,2022-07-16 19:23:08,20.8947,-156.47,82.98,80,20,23.02
191,Puerto Leguizamo,CO,2022-07-16 19:23:08,-0.1934,-74.7819,88.9,49,71,5.21
192,Gornopravdinsk,RU,2022-07-16 19:23:09,60.05,69.9,57.33,90,62,6.35
193,Lilongwe,MW,2022-07-16 19:23:09,-13.9669,33.7873,59.9,60,99,9.82
194,Plettenberg Bay,ZA,2022-07-16 19:23:10,-34.0527,23.3716,65.75,41,71,7.34
195,Urumqi,CN,2022-07-16 19:23:10,43.801,87.6005,76.15,24,0,4.47
196,Kolokani,ML,2022-07-16 19:23:11,13.5728,-8.0339,84.85,56,100,12.3
197,Pauini,BR,2022-07-16 19:23:11,-7.7136,-66.9764,90.5,49,84,4.05
198,Sur,OM,2022-07-16 19:21:28,22.5667,59.5289,87.17,68,100,8.97
199,Nortelandia,BR,2022-07-16 19:23:12,-14.4547,-56.8028,97.7,23,3,5.93
200,Otane,NZ,2022-07-16 19:23:12,-39.8833,176.6333,34.81,91,0,2.17
201,Castro,BR,2022-07-16 19:23:12,-24.7911,-50.0119,74.59,51,13,14.94
202,Zachary,US,2022-07-16 19:23:13,30.6485,-91.1565,94.69,61,75,5.75
203,Loukhi,RU,2022-07-16 19:23:13,66.0764,33.0381,58.86,70,10,4.94
204,Kichera,RU,2022-07-16 19:23:14,55.9375,110.0997,55.0,100,100,3.13
205,Ketchikan,US,2022-07-16 19:23:09,55.3422,-131.6461,61.27,72,75,4.61
206,Sabha,LY,2022-07-16 19:23:14,27.0377,14.4283,86.61,18,0,8.34
207,Beringovskiy,RU,2022-07-16 19:23:14,63.05,179.3167,53.26,72,15,6.85
208,Codrington,AU,2022-07-16 19:21:32,-38.2667,141.9667,51.85,93,100,14.09
209,Srednekolymsk,RU,2022-07-16 19:23:15,67.45,153.6833,51.62,74,100,5.5
210,Waddan,LY,2022-07-16 19:23:15,29.1614,16.139,85.55,20,0,8.63
211,Indianola,US,2022-07-16 19:23:16,41.3581,-93.5574,80.87,54,100,6.91
212,Acapulco,MX,2022-07-16 19:21:40,16.8634,-99.8901,85.82,70,75,10.36
213,Namibe,AO,2022-07-16 19:23:16,-15.1961,12.1522,65.39,94,28,4.16
214,Nishihara,JP,2022-07-16 19:23:16,26.1842,127.7558,83.86,94,20,12.66
215,Chokurdakh,RU,2022-07-16 19:23:17,70.6333,147.9167,46.18,77,100,14.74
216,Ajdabiya,LY,2022-07-16 19:23:17,30.7554,20.2263,77.32,69,0,14.54
217,Batagay,RU,2022-07-16 19:22:11,67.6333,134.6333,52.97,80,100,4.79
218,Nanortalik,GL,2022-07-16 19:23:18,60.1432,-45.2371,43.9,79,58,4.52
219,Mansa,IN,2022-07-16 19:23:18,29.9833,75.3833,90.23,53,52,8.1
220,Hasaki,JP,2022-07-16 19:23:18,35.7333,140.8333,73.8,93,100,16.28
221,Cayeli,TR,2022-07-16 19:23:19,41.0923,40.7292,72.27,81,100,3.49
222,Kavieng,PG,2022-07-16 19:23:19,-2.5744,150.7967,81.45,78,13,12.15
223,Hay River,CA,2022-07-16 19:22:10,60.8156,-115.7999,61.66,65,100,4.21
224,Beitbridge,ZW,2022-07-16 19:23:20,-22.2167,30.0,61.09,68,0,7.07
225,Kirakira,SB,2022-07-16 19:20:17,-10.4544,161.9205,78.67,83,26,11.12
226,Rabak,SD,2022-07-16 19:23:20,13.1809,32.74,82.45,55,100,6.02
227,Ancud,CL,2022-07-16 19:20:22,-41.8697,-73.8203,42.22,83,100,19.82
228,Rio Grande City,US,2022-07-16 19:23:21,26.3798,-98.8203,99.88,21,84,19.42
229,Sioux Lookout,CA,2022-07-16 19:24:21,50.1001,-91.917,80.67,44,75,2.3
230,Sorland,NO,2022-07-16 19:22:14,67.667,12.6934,51.66,83,99,12.8
231,Totness,SR,2022-07-16 19:24:22,5.8833,-56.3167,81.16,83,32,6.04
232,Taitung,TW,2022-07-16 19:24:22,22.7583,121.1444,83.37,66,100,4.72
233,Rocha,UY,2022-07-16 19:24:22,-34.4833,-54.3333,48.94,91,100,19.82
234,Lukovetskiy,RU,2022-07-16 19:24:23,64.2956,41.9211,56.8,88,2,5.12
235,Singosari,ID,2022-07-16 19:24:23,-7.8924,112.6658,69.94,95,31,3.4
236,Mar Del Plata,AR,2022-07-16 19:21:26,-38.0023,-57.5575,49.08,78,100,14.97
237,Sobolevo,RU,2022-07-16 19:24:24,54.4299,31.8996,52.48,93,99,4.43
238,Viking,CA,2022-07-16 19:24:24,53.1001,-111.7684,77.13,60,6,9.93
239,Nileshwar,IN,2022-07-16 19:24:24,12.25,75.1,79.32,83,100,8.28
240,Manakara,MG,2022-07-16 19:24:25,-22.1333,48.0167,67.32,86,37,7.11
241,Bahir Dar,ET,2022-07-16 19:24:25,11.5936,37.3908,62.42,89,100,3.36
242,Valleyview,CA,2022-07-16 19:24:26,55.0667,-117.2859,71.98,50,2,8.3
243,Torbay,CA,2022-07-16 19:24:26,47.6666,-52.7314,75.97,43,40,17.27
244,Nikolayevsk-Na-Amure,RU,2022-07-16 19:24:26,53.1406,140.73,56.66,95,93,3.49
245,Amahai,ID,2022-07-16 19:24:27,-3.3333,128.9167,76.19,92,100,5.84
246,Panjab,AF,2022-07-16 19:24:27,34.388,67.0233,57.33,29,0,6.33
247,Vuktyl,RU,2022-07-16 19:24:27,63.8567,57.3094,66.13,89,100,2.26
248,Hervey Bay,AU,2022-07-16 19:24:28,-25.2986,152.8535,63.81,60,92,5.28
249,Touros,BR,2022-07-16 19:23:49,-5.1989,-35.4608,77.94,85,46,15.39
250,Grindavik,IS,2022-07-16 19:24:28,63.8424,-22.4338,53.55,93,100,9.22
251,Hoima,UG,2022-07-16 19:24:29,1.4356,31.3436,68.67,60,42,3.65
252,Katsuura,JP,2022-07-16 19:24:29,35.1333,140.3,74.34,93,100,19.22
253,Rio Grande,BR,2022-07-16 19:23:22,-32.035,-52.0986,57.31,95,100,17.29
254,Miyazu,JP,2022-07-16 19:24:29,35.5333,135.1833,71.73,92,45,4.21
255,Lorengau,PG,2022-07-16 19:24:07,-2.0226,147.2712,81.41,79,18,10.54
256,Atar,MR,2022-07-16 19:24:30,20.5169,-13.0499,110.44,6,95,19.3
257,San Vicente,AR,2022-07-16 19:24:30,-26.6167,-54.1333,55.99,98,100,9.57
258,Roald,NO,2022-07-16 19:24:31,62.5833,6.1333,56.75,71,75,6.91
259,Grootfontein,NA,2022-07-16 19:24:31,-19.5667,18.1167,51.37,46,0,3.44
260,Karasburg,NA,2022-07-16 19:24:31,-28.0167,18.75,63.82,22,0,10.85
261,Salalah,OM,2022-07-16 19:24:32,17.0151,54.0924,78.8,90,100,4.68
262,Obo,CF,2022-07-16 19:24:32,5.3998,26.4869,68.99,95,65,0.74
263,Cap Malheureux,MU,2022-07-16 19:24:33,-19.9842,57.6142,70.47,69,1,4.0
264,Port Alfred,ZA,2022-07-16 19:24:33,-33.5906,26.891,67.3,53,0,8.3
265,Te Anau,NZ,2022-07-16 19:24:33,-45.4167,167.7167,41.41,96,100,6.98
266,Ishigaki,JP,2022-07-16 19:24:34,24.3448,124.1572,82.53,100,40,6.91
267,Elko,US,2022-07-16 19:21:36,41.0002,-115.5012,92.05,18,0,5.99
268,Manicore,BR,2022-07-16 19:24:34,-5.8092,-61.3003,91.35,55,0,6.91
269,Pergamino,AR,2022-07-16 19:24:35,-33.89,-60.5736,48.9,66,100,15.01
270,Muli,MV,2022-07-16 19:24:35,2.9167,73.5667,82.99,76,44,6.85
271,Kharp,RU,2022-07-16 19:21:23,66.8014,65.8081,55.74,58,1,6.33
272,Sokoni,TZ,2022-07-16 19:24:35,-6.4333,39.55,75.85,79,40,17.22
273,San Cristobal,VE,2022-07-16 19:24:36,7.7669,-72.225,78.98,42,18,6.49
274,Anau,PF,2022-07-16 19:24:36,-16.5167,-151.7333,76.59,69,87,24.76
275,Naze,JP,2022-07-16 19:24:33,28.3667,129.4833,76.12,88,100,12.88
276,Ahuimanu,US,2022-07-16 19:25:37,21.4447,-157.8378,82.11,68,75,13.8
277,Saint-Francois,FR,2022-07-16 19:25:37,46.4154,3.9054,78.24,36,0,8.05
278,Liverpool,GB,2022-07-16 19:24:13,53.4106,-2.9779,75.15,62,0,9.22
279,Wels,AT,2022-07-16 19:25:37,48.1667,14.0333,69.55,46,0,5.75
280,Karratha,AU,2022-07-16 19:25:38,-20.7377,116.8463,65.01,56,2,5.3
281,Luz,BR,2022-07-16 19:25:38,-19.8014,-45.6856,82.71,30,55,7.0
282,Ginda,IN,2022-07-16 19:25:38,30.6945,78.4932,68.83,85,100,2.66
283,Minab,IR,2022-07-16 19:25:39,27.1467,57.0801,93.52,55,100,1.14
284,Atasu,KZ,2022-07-16 19:25:39,48.6814,71.6433,80.01,27,3,9.84
285,Kalundborg,DK,2022-07-16 19:25:40,55.6795,11.0886,60.35,65,0,23.67
286,Lebu,CL,2022-07-16 19:25:40,-37.6167,-73.65,49.08,71,100,14.18
287,Hamilton,US,2022-07-16 19:25:40,39.1834,-84.5333,93.09,50,20,14.97
288,Quatre Cocos,MU,2022-07-16 19:25:41,-20.2078,57.7625,71.71,68,21,15.46
289,Vyartsilya,RU,2022-07-16 19:25:41,62.1764,30.693,56.61,100,13,5.68
290,Mhango,TZ,2022-07-16 19:25:41,-3.2833,32.85,71.13,37,86,4.03
291,Pak Phanang,TH,2022-07-16 19:25:42,8.3511,100.202,79.02,85,100,4.88
292,Lagoa,PT,2022-07-16 19:25:42,39.05,-27.9833,70.38,86,0,10.47
293,Payo,ID,2022-07-16 19:25:42,-3.7508,103.6372,72.95,89,100,1.07
294,Aykhal,RU,2022-07-16 19:25:43,66.0,111.5,51.15,96,100,16.06
295,Prince Rupert,CA,2022-07-16 19:25:43,54.3161,-130.3201,57.29,88,100,3.44
