City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
243,Solnechnyy,RU,61.52,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
244,Anito,PH,77.18,overcast clouds,12.4497,125.2886,El Felix Cottages
246,Hamilton,US,74.25,light rain,39.1834,-84.5333,Six Acres Bed & Breakfast
247,Nara,JP,76.5,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
249,Nemuro,JP,62.64,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
251,Sosnogorsk,RU,63.73,overcast clouds,63.6023,53.8817,Жемчужина
256,Dingle,PH,74.75,light rain,10.9995,122.6711,SEGAYA PROPERTY
257,Miri,MY,77.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
258,Ixtapa,MX,85.23,broken clouds,20.7,-105.2,hotel la terminal
260,Faya,SA,68.52,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
264,Villa Del Rosario,CO,86.38,scattered clouds,7.8339,-72.4742,Hotel Villas de San Diego
269,Santa Lucia,ES,65.77,few clouds,27.9117,-15.5407,Las Tirajanas
271,Matara,LK,78.46,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
273,Coos Bay,US,76.32,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
274,Muzaffargarh,PK,84.22,light rain,30.0754,71.1921,NewAghosh hotel and restaurant
275,Escanaba,US,80.96,clear sky,45.7453,-87.0646,Sunset Lodge
277,Guerrero Negro,MX,81.23,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
279,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
280,Sabla,NG,78.3,moderate rain,12.7525,4.7077,
281,Hambantota,LK,80.02,overcast clouds,6.1241,81.1185,Bungalow 63
282,Manokwari,ID,75.74,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
283,Portland,US,76.6,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
285,Lucapa,AO,75.36,overcast clouds,-8.4192,20.7447,Lírio Mendes
286,Vila Franca Do Campo,PT,70.21,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
288,Merauke,ID,75.49,overcast clouds,-8.4667,140.3333,
291,Casimiro Castillo,MX,85.03,overcast clouds,19.6,-104.4333,Hotel San José
294,Axim,GH,74.79,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
295,Kieta,PG,79.34,light rain,-6.2167,155.6333,Uruna Bay Retreat
296,Castro,BR,64.31,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
297,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
298,Saint-Leu,RE,69.31,scattered clouds,-21.15,55.2833,La Caz Oceane
299,Fortuna,US,67.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
301,Kalaleh,IR,84.56,clear sky,37.3807,55.4916,کلاله
303,Nishihara,JP,83.86,drizzle,26.1842,127.7558,Minshuku Agaihama
304,San Andres,CO,86.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
305,Singaraja,ID,76.82,clear sky,-8.112,115.0882,Puri Bagus Lovina Resort
306,Wuan,CN,80.04,few clouds,31.6836,112.0044,武镇大酒店
307,La Ronge,CA,77.25,broken clouds,55.1001,-105.2842,Northland Motor Hotel
