City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Cabo San Lucas,MX,22.8909,-109.9124,95.61,26,0,11.5,clear sky
110,Leningradskiy,RU,69.3833,178.4167,32.56,94,83,26.75,light snow
111,Srednekolymsk,RU,67.45,153.6833,52.27,43,11,8.34,few clouds
112,Shingu,JP,33.7333,135.9833,75.47,84,100,4.94,overcast clouds
113,Aklavik,CA,68.2191,-135.0107,72.37,40,96,8.72,overcast clouds
114,Rafsanjan,IR,30.4067,55.9939,83.95,9,0,0.18,clear sky
115,Kamenka,RU,51.3223,42.7678,65.41,88,65,5.17,light rain
116,Kalabo,ZM,-14.97,22.6814,53.67,44,2,6.58,clear sky
117,Labrea,BR,-7.2586,-64.7981,88.25,53,100,4.16,overcast clouds
118,Tatawin,TN,32.9297,10.4518,75.49,68,0,10.58,clear sky
119,Gornopravdinsk,RU,60.05,69.9,62.11,64,79,2.68,broken clouds
120,Torbay,CA,47.6666,-52.7314,70.57,76,100,5.75,overcast clouds
121,Calama,CL,-22.4667,-68.9333,68.49,6,0,19.57,clear sky
122,Arlit,NE,18.7369,7.3853,94.57,29,73,8.05,broken clouds
123,Buala,SB,-8.145,159.5921,81.34,78,29,9.08,scattered clouds
124,Mehamn,NO,71.0357,27.8492,51.75,87,75,5.75,broken clouds
125,Namatanai,PG,-3.6667,152.4333,80.19,77,68,9.13,broken clouds
126,Mackay,AU,-21.15,149.2,60.67,87,1,8.48,clear sky
127,Lagoa,PT,39.05,-27.9833,70.9,92,0,9.84,clear sky
128,Faanui,PF,-16.4833,-151.75,77.07,70,83,17.92,light rain
129,Kushima,JP,31.4583,131.2333,77.63,78,100,3.04,light rain
130,Ulcinj,ME,41.9294,19.2244,79.02,63,57,10.69,broken clouds
131,Vostok,RU,46.4856,135.8833,56.88,94,100,1.92,light rain
132,Ulaanbaatar,MN,47.9077,106.8832,48.33,87,0,0.0,clear sky
133,Ouadda,CF,8.0777,22.4007,68.04,98,100,5.01,overcast clouds
134,Naze,JP,28.3667,129.4833,77.92,84,100,18.86,light rain
135,Yerbogachen,RU,61.2767,108.0108,57.38,83,83,1.77,broken clouds
136,Sitka,US,57.0531,-135.33,55.29,94,100,6.91,moderate rain
137,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,73,0,16.11,clear sky
138,Dukat,RU,62.55,155.55,48.24,90,100,4.68,light rain
139,Victoria,HK,22.2855,114.1577,86.38,82,100,11.99,overcast clouds
140,Shitanjing,CN,39.2342,106.3439,72.07,29,75,4.99,broken clouds
141,Avarua,CK,-21.2078,-159.775,75.25,73,40,3.44,scattered clouds
142,Marawi,PH,7.9986,124.2928,68.79,94,100,3.42,light rain
143,Stavanger,NO,58.9701,5.7333,59.22,95,100,4.61,overcast clouds
144,Haines Junction,CA,60.7522,-137.5108,66.15,42,95,2.3,overcast clouds
145,Margate,GB,51.3813,1.3862,68.11,67,43,1.01,scattered clouds
146,De-Kastri,RU,51.4667,140.7833,56.17,93,100,2.57,moderate rain
147,Hun,LY,29.1268,15.9477,82.4,33,0,15.82,clear sky
148,Half Moon Bay,US,37.4636,-122.4286,92.53,70,20,19.57,mist
149,Santa Maria,BR,-29.6842,-53.8069,51.1,66,100,2.3,overcast clouds
150,Cockburn Town,TC,21.4612,-71.1419,85.96,66,40,16.11,scattered clouds
151,Nagato,JP,34.3833,131.2,77.04,78,100,6.4,overcast clouds
152,Qandala,SO,11.472,49.8728,91.63,45,11,16.64,few clouds
153,Miramar,US,25.9873,-80.2323,91.0,67,0,17.27,clear sky
154,Biryusinsk,RU,55.9634,97.8235,58.41,90,100,4.72,light rain
155,Petatlan,MX,17.5167,-101.2667,91.2,67,98,8.43,overcast clouds
156,Poum,NC,-20.2333,164.0167,73.87,72,0,17.67,clear sky
157,Gogrial,SS,8.5332,28.1004,72.99,91,99,2.68,moderate rain
158,Tianpeng,CN,30.9866,103.9393,77.47,86,100,1.57,overcast clouds
159,Totness,SR,5.8833,-56.3167,81.91,75,39,8.41,scattered clouds
160,Nosy Varika,MG,-20.5833,48.5333,66.24,85,67,4.03,light rain
161,Kodiak,US,57.79,-152.4072,63.91,52,100,6.91,overcast clouds
162,Vila Velha,BR,-20.3297,-40.2925,76.95,82,0,12.66,clear sky
163,Durango,MX,24.8333,-104.8333,84.88,20,16,15.23,few clouds
164,Nizwa,OM,22.9333,57.5333,85.55,58,100,3.74,overcast clouds
165,Asau,RO,46.4333,26.4,65.32,65,24,3.47,few clouds
166,General Roca,AR,-39.0333,-67.5833,58.62,43,75,23.38,broken clouds
167,Ancud,CL,-41.8697,-73.8203,42.22,74,68,15.14,broken clouds
168,Bambous Virieux,MU,-20.3428,57.7575,70.05,64,40,14.97,light rain
169,Ashland,US,40.8167,-82.2665,72.14,95,100,7.45,moderate rain
170,Souillac,MU,-20.5167,57.5167,70.18,64,40,14.97,light rain
171,Fort Nelson,CA,58.8053,-122.7002,71.19,46,75,3.44,broken clouds
172,Avera,US,33.194,-82.5271,90.91,39,37,8.39,scattered clouds
173,Naryan-Mar,RU,67.6713,53.087,58.95,90,100,4.7,overcast clouds
174,Markdale,CA,44.3168,-80.6497,80.06,58,100,5.41,overcast clouds
175,Turbat,PK,26.0023,63.044,91.92,59,86,3.8,overcast clouds
176,Baiyin,CN,36.5583,104.2081,64.26,57,100,6.29,overcast clouds
177,Zabaykalsk,RU,49.6333,117.3167,60.53,91,100,6.82,overcast clouds
178,Mar Del Plata,AR,-38.0023,-57.5575,57.22,44,0,19.57,clear sky
179,Aljezur,PT,37.3191,-8.8033,66.04,90,3,8.3,clear sky
180,Beloha,MG,-25.1667,45.05,63.32,78,0,9.84,clear sky
181,Channel-Port Aux Basques,CA,47.5702,-59.1367,63.79,83,83,3.13,light rain
182,Norman Wells,CA,65.282,-126.8329,73.44,43,75,9.22,broken clouds
183,Hope,US,33.6671,-93.5916,102.25,25,17,8.57,few clouds
184,Tiksi,RU,71.6872,128.8694,38.53,74,100,6.06,overcast clouds
185,Notse,TG,6.95,1.1667,72.19,90,68,6.76,broken clouds
186,Correia Pinto,BR,-27.5847,-50.3611,46.24,87,88,1.25,overcast clouds
187,Airai,TL,-8.9266,125.4092,52.93,87,39,3.6,scattered clouds
188,Olenino,RU,56.2092,33.4889,57.94,62,99,2.28,overcast clouds
189,Polyarnyy,RU,69.1989,33.4478,53.62,96,100,3.36,overcast clouds
190,Jalu,LY,29.0331,21.5482,83.03,42,0,17.38,clear sky
191,Skibbereen,IE,51.55,-9.2667,68.11,90,37,2.28,scattered clouds
192,Gat,IL,31.61,34.7642,79.48,100,0,0.56,clear sky
193,San Patricio,US,28.017,-97.5169,97.54,39,69,16.06,broken clouds
194,Aksu,CN,41.1231,80.2644,76.37,30,0,8.95,clear sky
195,Seoul,KR,37.5683,126.9778,74.64,91,75,3.44,mist
196,Cottbus,DE,51.7667,14.3333,62.96,59,52,0.67,broken clouds
197,Kathu,TH,7.9178,98.3332,85.75,87,77,7.9,broken clouds
198,Otacilio Costa,BR,-27.4831,-50.1219,46.38,83,100,1.7,overcast clouds
199,Sarka Ghat,IN,31.7,76.7333,73.45,75,2,3.67,clear sky
200,Brownsville,US,25.9018,-97.4975,96.8,52,20,16.11,few clouds
201,Tingo Maria,PE,-9.2895,-76.0088,79.95,78,92,3.11,overcast clouds
202,Den Helder,NL,52.9599,4.7593,67.98,75,75,2.3,broken clouds
203,Codrington,AU,-38.2667,141.9667,48.02,71,100,16.24,overcast clouds
204,Ndele,CF,8.4109,20.6473,69.21,98,100,1.59,overcast clouds
205,Mananjary,MG,-21.2167,48.3333,65.68,86,59,5.46,light rain
206,Tautira,PF,-17.7333,-149.15,75.43,71,45,13.18,scattered clouds
207,Saint George,US,37.1041,-113.5841,103.78,19,0,12.66,clear sky
208,Luderitz,NA,-26.6481,15.1594,63.55,54,1,7.09,clear sky
209,Talnakh,RU,69.4865,88.3972,52.21,68,94,1.79,overcast clouds
210,Binga,ZW,-17.6203,27.3414,60.1,48,0,5.99,clear sky
211,Fairlie,GB,55.756,-4.8556,66.9,75,100,3.67,overcast clouds
212,Lazaro Cardenas,MX,17.9583,-102.2,85.98,65,87,9.53,overcast clouds
213,Yeniseysk,RU,58.4497,92.1703,55.71,99,100,9.15,heavy intensity rain
214,Christchurch,NZ,-43.5333,172.6333,60.48,39,27,20.71,scattered clouds
215,Priyutnoye,RU,46.1011,43.5072,78.58,39,30,8.01,scattered clouds
216,Bengkulu,ID,-3.8004,102.2655,75.31,88,54,4.21,broken clouds
